QID,Term,Morph,npmi,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
1,code,codeing,0.1119557431083131,0.7258988618850708,0.8069380521774292,0.8028289079666138,0.41475909948349,0.8297145366668701,0.863315224647522
1,code,codings,0.1384453319024856,0.6857720017433167,0.4696290194988251,0.7392212152481079,0.4544359147548675,0.7669737935066223,0.9082188606262208
2,cad,cads,0.2650269445482565,0.705981969833374,0.8643861413002014,0.9420106410980223,0.5387749671936035,0.7059817910194397,0.793615996837616
2,cad,cadding,0.38083094502575,0.3947975635528564,0.8249903917312622,0.8250260949134827,0.1047020852565765,0.3947976529598236,0.7727351188659668
2,cad,cadness,0.1042277893719792,0.7243015766143799,0.8355703949928284,0.8929152488708496,0.0130185903981328,0.7243015766143799,0.960482895374298
2,cad,cad's,0.3671898192537728,0.5480103492736816,0.7524015307426453,0.9208656549453736,-0.0372348353266716,0.5480102896690369,0.9308985471725464
2,cad,cadli,0.2258476398042617,0.5932956337928772,0.8457419872283936,0.6209672093391418,0.117350198328495,0.593295693397522,0.9293960332870485
2,cad,cadly,0.2486633215411751,0.7236685752868652,0.8391999006271362,0.740841805934906,0.1495011299848556,0.7236686944961548,0.9322178959846495
2,cad,cadded,0.2096596559920405,0.7398067712783813,0.8246279358863831,0.800353467464447,0.0783930942416191,0.7398067116737366,0.9402538537979126
2,cad,cadlys,0.2486633215411751,0.4830584824085235,0.7538152933120728,0.7363528609275818,0.0641481801867485,0.4830585122108459,0.8910179138183594
2,cad,cadlis,0.2486633215411751,0.6586121320724487,0.8215045928955078,0.6657187938690186,0.0525519736111164,0.658612072467804,0.9448750019073486
3,fifa,fifas,0.4017452482042102,0.7756876945495605,0.8150358200073242,0.91777241230011,0.485853910446167,0.7756876945495605,0.8856560587882996
3,fifa,fifaing,0.3952373921988471,0.7822704911231995,0.8247876167297363,0.7811205387115479,0.4554585218429565,0.7822705507278442,0.9244142174720764
3,fifa,fifa's,0.5672484975868481,0.6671413779258728,0.7159625887870789,0.8756688833236694,0.4483839273452759,0.6671414375305176,0.9487215280532836
4,nike,nike's,0.5011232885094042,0.62706458568573,0.7584843635559082,0.9119840264320374,0.0741491615772247,0.62706458568573,0.8575155138969421
4,nike,nikees,0.1659640509130081,0.6295338869094849,0.8530983328819275,0.8883804678916931,0.0146619109436869,0.6295338273048401,0.8000979423522949
4,nike,nikely,0.2583709135062932,0.7448714971542358,0.8428616523742676,0.6849254369735718,0.0478602088987827,0.7448714971542358,0.849699854850769
4,nike,nikeli,0.2119506916000004,0.6785596013069153,0.8510414958000183,0.6910168528556824,0.0885305479168891,0.6785596013069153,0.9563213586807252
4,nike,niking,0.0576909008002392,0.5293080806732178,0.4661946892738342,0.2374729365110397,0.0114130917936563,0.5293081402778625,0.9441996812820436
4,nike,nikes,0.4478905897599765,0.7008785605430603,0.8647585511207581,0.9308736324310304,0.6723991632461548,0.7008785605430603,0.8359285593032837
4,nike,nikee,0.2049302406602578,0.6496002078056335,0.8426790237426758,0.7514708042144775,0.0112728364765644,0.6496002078056335,0.8733570575714111
4,nike,niked,0.2411684385230141,0.6923861503601074,0.8437095880508423,0.7080569863319397,0.0667502880096435,0.6923861503601074,0.9158564805984496
4,nike,nikeness,0.2635107328929919,0.7611681222915649,0.8411299586296082,0.7853472232818604,0.0056715039536356,0.7611680626869202,0.935745120048523
4,nike,niking's,0.1675838845986959,0.4088817834854126,0.4200431704521179,0.33253014087677,0.0856824368238449,0.4088817834854126,0.9269052147865297
