QID,Term,Morph,npmi,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
5,virtual,virtualized,0.3930382016979181,0.5635074377059937,0.795281708240509,0.7828450202941895,0.5067857503890991,0.8781638145446777,0.9006672501564026
5,virtual,virtuallize,0.2113158171938978,0.4856730699539184,0.6959585547447205,0.7400780916213989,0.1675573587417602,0.6738482117652893,0.9219687581062316
5,virtual,virtualness,0.2188686016400743,0.6823711395263672,0.7943276166915894,0.8903332352638245,0.20933198928833,0.7999705672264099,0.9129363894462584
5,virtual,virtuallization,0.1889138610269326,0.8073307871818542,0.7811185717582703,0.7265507578849792,0.1771626621484756,0.6749778985977173,0.9597014784812928
5,virtual,virtualizations,0.2275910760111542,0.676849365234375,0.778221607208252,0.7424161434173584,0.4631575047969818,0.784550666809082,0.8576264977455139
5,virtual,virtuales,0.2418442535485747,0.4250805377960205,0.8066467046737671,0.8523715138435364,0.2542833983898163,0.822212815284729,0.8206668496131897
5,virtual,virtualer,0.1592487457546185,0.6925355195999146,0.7886300086975098,0.7937194108963013,0.2293070554733276,0.8074281811714172,0.9155306220054626
5,virtual,virtualed,0.2226297281342839,0.7324004769325256,0.8018485903739929,0.8859795331954956,0.2332613468170166,0.8164497017860413,0.8795817494392395
5,virtual,virtualal,0.2338938741955405,0.7339593172073364,0.7886480093002319,0.838495135307312,0.2225633263587951,0.7799220681190491,0.95416921377182
5,virtual,virtualled,0.1592487457546185,0.7783214449882507,0.7969203591346741,0.7988355159759521,0.1661638766527176,0.6271108388900757,0.930422067642212
5,virtual,virtualler,0.2062988215423725,0.7747306823730469,0.7894263863563538,0.7235848307609558,0.1838930994272232,0.724559485912323,0.9598730802536012
5,virtual,virtualics,0.2062988215423725,0.6686660647392273,0.7800325155258179,0.699004054069519,0.1770506650209427,0.7851219177246094,0.8589650988578796
5,virtual,virtualism,0.1363913092357859,0.4772833585739136,0.7939823269844055,0.7699269652366638,0.2392420619726181,0.85881108045578,0.7970114946365356
5,virtual,virtualive,0.214191951610903,0.7711124420166016,0.7795195579528809,0.8401874303817749,0.2774012684822082,0.7677938938140869,0.974109709262848
5,virtual,virtuality,0.2643734279133775,0.6493402123451233,0.7857414484024048,0.8591144680976868,0.5764727592468262,0.863438606262207,0.9325782656669616
5,virtual,virtualing,0.1592487457546185,0.7069913148880005,0.805780291557312,0.8553832769393921,0.2020975947380066,0.8665407299995422,0.9414212703704834
5,virtual,virtualize,0.3437393003547484,0.6946166753768921,0.7732406854629517,0.7744467854499817,0.3998745083808899,0.8195611238479614,0.934598743915558
5,virtual,virtualality,0.2113158171938978,0.8016371726989746,0.7852717638015747,0.7478814125061035,0.2184028923511505,0.7801606059074402,0.9145947694778442
5,virtual,virtualicity,0.1592487457546185,0.5262027978897095,0.6736496686935425,0.7664594054222107,0.2123838663101196,0.717494547367096,0.8530134558677673
5,virtual,virtualities,0.2322578707632507,0.6300020217895508,0.7652815580368042,0.7464073896408081,0.4238049983978271,0.7434111833572388,0.8618837594985962
